Date,y_Open,y_High,y_Low,y_Close,y_Vix,y_Dow,y_Tech,Close,Volume
20-06-2017,2442.550049,2453.820068,2441.790039,2453.459961,10.37,21528.99023,5772.220215,2437.030029,3416510000
21-06-2017,2450.659912,2450.659912,2436.600098,2437.030029,10.86,21467.14063,5726.310059,2435.610107,3594820000
22-06-2017,2439.310059,2442.22998,2430.73999,2435.610107,10.75,21410.0293,5782.390137,2434.5,3468210000
23-06-2017,2437.399902,2441.620117,2433.27002,2434.5,10.48,21397.28906,5779.870117,2438.300049,5278330000
26-06-2017,2434.649902,2441.399902,2431.110107,2438.300049,10.02,21394.75977,5803.109863,2439.070068,3238970000
27-06-2017,2443.320068,2450.419922,2437.030029,2439.070068,9.9,21409.55078,5777.589844,2419.379883,3563910000
28-06-2017,2436.340088,2440.149902,2419.379883,2419.379883,11.06,21310.66016,5671.600098,2440.689941,3500800000
29-06-2017,2428.699951,2442.969971,2428.02002,2440.689941,10.03,21454.60938,5753.029785,2419.699951,3900280000
30-06-2017,2442.379883,2442.72998,2405.699951,2419.699951,11.44,21287.0293,5653.02002,2423.409912,3361590000
03-07-2017,2429.199951,2432.709961,2421.649902,2423.409912,11.18,21349.63086,5646.919922,2429.01001,1962290000
05-07-2017,2431.389893,2439.169922,2428.689941,2429.01001,11.22,21479.26953,5596.959961,2432.540039,3367220000
06-07-2017,2430.780029,2434.899902,2422.050049,2432.540039,11.07,21478.16992,5648.819824,2409.75,3364520000
07-07-2017,2423.439941,2424.280029,2407.699951,2409.75,12.54,21320.03906,5597.899902,2425.179932,2901330000
10-07-2017,2413.52002,2426.919922,2413.52002,2425.179932,11.19,21414.33984,5656.470215,2427.429932,2999130000
11-07-2017,2424.51001,2432,2422.27002,2427.429932,11.11,21408.51953,5694.149902,2425.530029,3106750000
12-07-2017,2427.350098,2429.300049,2412.790039,2425.530029,10.89,21409.07031,5709.799805,2443.25,3171620000
13-07-2017,2435.75,2445.76001,2435.75,2443.25,10.3,21532.14063,5778.950195,2447.830078,3067670000
14-07-2017,2444.98999,2449.320068,2441.689941,2447.830078,9.9,21553.08984,5793.359863,2459.27002,2736640000
17-07-2017,2449.159912,2463.540039,2446.689941,2459.27002,9.51,21637.74023,5838.080078,2459.139893,2793170000
18-07-2017,2459.5,2462.820068,2457.159912,2459.139893,9.82,21629.7207,5839.740234,2460.610107,2962130000
19-07-2017,2455.879883,2460.919922,2450.340088,2460.610107,9.89,21574.73047,5880.100098,2473.830078,3059760000
20-07-2017,2463.850098,2473.830078,2463.850098,2473.830078,9.79,21640.75,5916.160156,2473.449951,3182780000
21-07-2017,2475.560059,2477.620117,2468.429932,2473.449951,9.58,21611.7793,5921.220215,2472.540039,3059570000
24-07-2017,2467.399902,2472.540039,2465.060059,2472.540039,9.36,21580.07031,5921.529785,2469.909912,3010240000
25-07-2017,2472.040039,2473.100098,2466.320068,2469.909912,9.43,21513.16992,5941.370117,2477.129883,4108060000
26-07-2017,2477.879883,2481.23999,2474.909912,2477.129883,9.43,21613.42969,5930.649902,2477.830078,3557020000
27-07-2017,2479.969971,2481.689941,2474.939941,2477.830078,9.6,21711.00977,5950.72998,2475.419922,3995520000
28-07-2017,2482.76001,2484.040039,2459.929932,2475.419922,10.11,21796.55078,5917.029785,2472.100098,3294770000
31-07-2017,2469.120117,2473.530029,2464.659912,2472.100098,10.29,21830.31055,5908.919922,2470.300049,3469210000
01-08-2017,2475.939941,2477.959961,2468.530029,2470.300049,10.26,21891.11914,5880.330078,2476.350098,3460860000
02-08-2017,2477.100098,2478.51001,2471.139893,2476.350098,10.09,21963.91992,5895.169922,2477.570068,3478580000
03-08-2017,2480.379883,2480.379883,2466.47998,2477.570068,10.28,22016.24023,5914.22998,2472.159912,3645020000
04-08-2017,2476.030029,2476.030029,2468.850098,2472.159912,10.44,22026.09961,5891.200195,2476.830078,3235140000
07-08-2017,2476.879883,2480,2472.080078,2476.830078,10.03,22092.81055,5899.910156,2480.909912,2931780000
08-08-2017,2477.139893,2480.949951,2475.879883,2480.909912,9.93,22118.41992,5934.72998,2474.919922,3344640000
09-08-2017,2478.350098,2490.870117,2470.320068,2474.919922,10.96,22085.33984,5926.350098,2474.02002,3308060000
10-08-2017,2465.350098,2474.409912,2462.080078,2474.02002,11.11,22048.69922,5919.390137,2438.209961,3621070000
11-08-2017,2465.379883,2465.379883,2437.75,2438.209961,16.040001,21844.00977,5788.189941,2441.320068,3159930000
14-08-2017,2441.040039,2448.090088,2437.850098,2441.320068,15.51,21858.32031,5831.529785,2465.840088,2822550000
15-08-2017,2454.959961,2468.219971,2454.959961,2465.840088,12.33,21993.71094,5908.169922,2464.610107,2913100000
16-08-2017,2468.659912,2468.899902,2461.610107,2464.610107,12.04,21998.99023,5907.72998,2468.110107,2953650000
17-08-2017,2468.629883,2474.929932,2463.860107,2468.110107,11.74,22024.86914,5917.419922,2430.01001,3142620000
18-08-2017,2462.949951,2465.02002,2430.01001,2430.01001,15.55,21750.73047,5796.319824,2425.550049,3415680000
21-08-2017,2427.639893,2440.27002,2420.689941,2425.550049,14.26,21674.50977,5790.910156,2428.370117,2788150000
22-08-2017,2425.5,2430.580078,2417.350098,2428.370117,13.19,21703.75,5786.540039,2452.51001,2777490000
23-08-2017,2433.75,2454.77002,2433.669922,2452.51001,11.35,21899.89063,5873.330078,2444.040039,2785290000
24-08-2017,2444.879883,2448.909912,2441.419922,2444.040039,12.25,21812.08984,5851.779785,2438.969971,2846590000
25-08-2017,2447.909912,2450.389893,2436.189941,2438.969971,12.23,21783.40039,5834.439941,2443.050049,2588780000
28-08-2017,2444.719971,2453.959961,2442.219971,2443.050049,11.28,21813.66992,5822.529785,2444.23999,2677700000
29-08-2017,2447.350098,2449.120117,2439.030029,2444.23999,11.32,21808.40039,5838.080078,2446.300049,2737580000
30-08-2017,2431.939941,2449.189941,2428.199951,2446.300049,11.7,21865.36914,5862.140137,2457.590088,2633660000
31-08-2017,2446.060059,2460.310059,2443.77002,2457.590088,11.22,21892.42969,5932.899902,2471.649902,3348110000
01-09-2017,2462.649902,2475.01001,2462.649902,2471.649902,10.59,21948.09961,5988.600098,2476.550049,2710730000
05-09-2017,2474.419922,2480.379883,2473.850098,2476.550049,10.13,21987.56055,5987.899902,2457.850098,3490260000
06-09-2017,2470.350098,2471.969971,2446.550049,2457.850098,12.23,21753.31055,5932.72998,2465.540039,3374410000
07-09-2017,2463.830078,2469.639893,2459.199951,2465.540039,11.63,21807.64063,5951.129883,2465.100098,3353930000
08-09-2017,2468.060059,2468.620117,2460.290039,2465.100098,11.55,21784.7793,5964.310059,2461.429932,3302490000
11-09-2017,2462.25,2467.110107,2459.399902,2461.429932,12.12,21797.78906,5913.370117,2488.110107,3291760000
12-09-2017,2474.52002,2488.949951,2474.52002,2488.110107,10.73,22057.36914,5980.529785,2496.47998,3230920000
13-09-2017,2491.939941,2496.77002,2490.370117,2496.47998,10.58,22118.85938,5995.640137,2498.370117,3368050000
14-09-2017,2493.889893,2498.370117,2492.139893,2498.370117,10.5,22158.17969,6004.379883,2495.620117,3414460000
15-09-2017,2494.560059,2498.429932,2491.350098,2495.620117,10.44,22203.48047,5968.819824,2500.22998,4853170000
18-09-2017,2495.669922,2500.22998,2493.159912,2500.22998,10.17,22268.33984,5988,2503.870117,3194300000
19-09-2017,2502.51001,2508.320068,2499.919922,2503.870117,10.15,22331.34961,5981.120117,2506.649902,3249100000
20-09-2017,2506.290039,2507.840088,2503.189941,2506.649902,10.18,22370.80078,5991.080078,2508.23999,3530010000
21-09-2017,2506.840088,2508.850098,2496.669922,2508.23999,9.78,22412.58984,5973.609863,2500.600098,2930860000
22-09-2017,2507.159912,2507.159912,2499,2500.600098,9.67,22359.23047,5934.910156,2502.219971,2865960000
25-09-2017,2497.26001,2503.469971,2496.540039,2502.219971,9.59,22349.58984,5932.319824,2496.659912,3297890000
26-09-2017,2499.389893,2502.540039,2488.030029,2496.659912,10.21,22296.08984,5867.350098,2496.840088,3043110000
27-09-2017,2501.040039,2503.51001,2495.120117,2496.840088,10.17,22284.32031,5881.339844,2507.040039,3456030000
28-09-2017,2503.300049,2511.75,2495.909912,2507.040039,9.87,22340.71094,5937.790039,2510.060059,3168620000
29-09-2017,2503.409912,2510.810059,2502.929932,2510.060059,9.55,22381.19922,5933.069824,2519.360107,3211920000
02-10-2017,2509.959961,2519.439941,2507.98999,2519.360107,9.51,22405.08984,5979.299805,2529.120117,3199730000
03-10-2017,2521.199951,2529.22998,2520.399902,2529.120117,9.45,22557.59961,5981.919922,2534.580078,3068850000
04-10-2017,2530.340088,2535.129883,2528.850098,2534.580078,9.51,22641.66992,5995.060059,2537.73999,3017120000
05-10-2017,2533.47998,2540.530029,2531.800049,2537.73999,9.63,22661.64063,5998.839844,2552.070068,3045120000
06-10-2017,2540.860107,2552.51001,2540.02002,2552.070068,9.19,22775.39063,6057.140137,2549.330078,2884570000
09-10-2017,2547.439941,2549.409912,2543.790039,2549.330078,9.65,22773.66992,6064.569824,2544.72998,2483970000
10-10-2017,2551.389893,2551.820068,2541.600098,2544.72998,10.33,22761.07031,6058.529785,2550.639893,2960500000
11-10-2017,2549.98999,2555.22998,2544.860107,2550.639893,10.08,22830.67969,6063.52002,2555.23999,2976090000
12-10-2017,2550.620117,2555.23999,2547.949951,2555.23999,9.85,22872.89063,6081.25,2550.929932,3151510000
13-10-2017,2552.879883,2555.330078,2548.310059,2550.929932,9.91,22841.00977,6069.990234,2553.169922,3149440000
16-10-2017,2555.659912,2557.649902,2552.090088,2553.169922,9.61,22871.7207,6092.450195,2557.639893,2916020000
17-10-2017,2555.570068,2559.469971,2552.639893,2557.639893,9.91,22956.96094,6114.529785,2559.360107,2889390000
18-10-2017,2557.169922,2559.709961,2554.689941,2559.360107,10.31,22997.43945,6122.609863,2561.26001,2998090000
19-10-2017,2562.870117,2564.110107,2559.669922,2561.26001,10.07,23157.59961,6114.350098,2562.100098,2990710000
20-10-2017,2553.389893,2562.360107,2547.919922,2562.100098,10.05,23163.03906,6092.620117,2575.209961,3384650000
23-10-2017,2567.560059,2575.439941,2567.560059,2575.209961,9.97,23328.63086,6108.819824,2564.97998,3211710000
24-10-2017,2578.080078,2578.290039,2564.330078,2564.97998,11.07,23273.96094,6067.830078,2569.129883,3427330000
25-10-2017,2568.659912,2572.179932,2565.580078,2569.129883,11.16,23441.75977,6080.220215,2557.149902,3874510000
26-10-2017,2566.52002,2567.399902,2544,2557.149902,11.23,23329.46094,6055.040039,2560.399902,3869050000
27-10-2017,2560.080078,2567.070068,2559.800049,2560.399902,11.3,23400.85938,6037.870117,2581.070068,3887110000
30-10-2017,2570.26001,2582.97998,2565.939941,2581.070068,9.8,23434.18945,6213.470215,2572.830078,3658870000
31-10-2017,2577.75,2580.030029,2568.25,2572.830078,10.5,23348.74023,6227.589844,2575.26001,3827230000
01-11-2017,2575.98999,2578.290039,2572.149902,2575.26001,10.18,23377.24023,6248.560059,2579.360107,3813180000
02-11-2017,2583.209961,2588.399902,2574.919922,2579.360107,10.2,23435.00977,6248.649902,2579.850098,4048270000
03-11-2017,2579.459961,2581.110107,2566.169922,2579.850098,9.93,23516.25977,6236.390137,2587.840088,3567710000
06-11-2017,2581.929932,2588.419922,2576.77002,2587.840088,9.14,23539.18945,6295.580078,2591.129883,3539080000
07-11-2017,2587.469971,2593.379883,2585.659912,2591.129883,9.4,23548.41992,6313.609863,2590.639893,3809650000
08-11-2017,2592.110107,2597.02002,2584.350098,2590.639893,9.89,23557.23047,6320.779785,2594.379883,3899360000
09-11-2017,2588.709961,2595.469971,2585.02002,2594.379883,9.78,23563.35938,6345.810059,2584.620117,3831610000
10-11-2017,2584,2586.5,2566.330078,2584.620117,10.5,23461.93945,6312.209961,2582.300049,3486910000
13-11-2017,2580.179932,2583.810059,2575.570068,2582.300049,11.29,23422.21094,6309.069824,2584.840088,3402930000
14-11-2017,2576.530029,2587.659912,2574.47998,2584.840088,11.5,23439.69922,6316.180176,2578.870117,3641760000
15-11-2017,2577.75,2579.659912,2566.560059,2578.870117,11.59,23409.4707,6293.640137,2564.620117,3558890000
16-11-2017,2569.449951,2572.840088,2557.449951,2564.620117,13.13,23271.2793,6258.359863,2585.639893,3312710000
17-11-2017,2572.949951,2590.090088,2572.949951,2585.639893,11.76,23458.35938,6339.140137,2578.850098,3300160000
20-11-2017,2582.939941,2583.959961,2577.620117,2578.850098,11.43,23358.24023,6314.509766,2582.139893,3003540000
21-11-2017,2579.48999,2584.639893,2578.23999,2582.139893,10.65,23430.33008,6308.609863,2599.030029,3332720000
22-11-2017,2589.169922,2601.189941,2589.169922,2599.030029,9.73,23590.83008,6378.629883,2597.080078,2762950000
24-11-2017,2600.310059,2600.939941,2595.22998,2597.080078,9.88,23526.17969,6386.120117,2602.419922,1349780000
27-11-2017,2600.419922,2604.209961,2600.419922,2602.419922,9.67,23557.99023,6409.290039,2601.419922,3006860000
28-11-2017,2602.659912,2606.409912,2598.870117,2601.419922,9.87,23580.7793,6405.970215,2627.040039,3488420000
29-11-2017,2605.939941,2627.689941,2605.439941,2627.040039,10.03,23836.71094,6422.560059,2626.070068,4078280000
30-11-2017,2627.820068,2634.889893,2620.320068,2626.070068,10.7,23940.67969,6311.379883,2647.580078,4938490000
01-12-2017,2633.929932,2657.73999,2633.929932,2647.580078,11.28,24272.34961,6365.560059,2642.219971,3942320000
04-12-2017,2645.100098,2650.620117,2605.52002,2642.219971,11.43,24231.58984,6337.870117,2639.439941,4023150000
05-12-2017,2657.189941,2665.189941,2639.030029,2639.439941,11.68,24290.05078,6263.700195,2629.570068,3539040000
06-12-2017,2639.780029,2648.719971,2627.72998,2629.570068,11.33,24180.64063,6265.109863,2629.27002,3229000000
07-12-2017,2626.23999,2634.409912,2624.75,2629.27002,11.02,24140.91016,6293.049805,2636.97998,3292400000
08-12-2017,2628.379883,2640.98999,2626.530029,2636.97998,10.16,24211.48047,6316.279785,2651.5,3106150000
11-12-2017,2646.209961,2651.649902,2644.100098,2651.5,9.58,24329.16016,6344.569824,2659.98999,3091950000
12-12-2017,2652.189941,2660.330078,2651.469971,2659.98999,9.34,24386.0293,6393.890137,2664.110107,3555680000
13-12-2017,2661.72998,2669.719971,2659.780029,2664.110107,9.92,24504.80078,6383.649902,2662.850098,3542370000
14-12-2017,2667.590088,2671.879883,2662.850098,2662.850098,10.18,24585.42969,6394.669922,2652.01001,3430030000
